KKQogNDTkt,Airbus A350-1000
DzAJRumklj,Antonov AN-124 Ruslan
6j8sk9NKZG,Airbus A330-900neo
I6JZsb2N6V,Airbus A320neo
ioeTdDRqUt,Bell 212
NAWOZcAAov,Airbus A330-300
5J3qv1az8V,Boeing 737-400
GXRE1d4nwH,Airbus A310-200
QOE4U04uKG,Boeing 737-600
domj4hLnGY,Aerospatiale ATR 72
2LrpHHQAwI,8KCAB Decathlon, 8GCBC Scout
HxYZDxv19I,Aerospatiale/Alenia ATR 42-500
ZnOHQeHhro,BAe 146-300
RZOdhHBlq6,Aquila A 210
SgDzjFHcDl,Antonov AN-32
Zil91trnxt,Airbus A330-700 Beluga XL
Qt0IDixA05,Avro RJ70
MxOo25kjUH,Airbus A220-300
p0ckjO9L3i,Aerospatiale (Sud Aviation) Se.210 Caravelle
UHP6EKESTe,Airbus A318 (sharklets)
yBQyRqY1Dd,Antonov An-158
53Q1snt0O2,Aerospatiale/Alenia ATR 72-600
eqvYxn4t9E,Airbus A321
LWWF8FA1Sp,Aerospatiale/Alenia ATR 72-200 series
d67ny0LuFQ,Airbus A340-600
OOqPkgch0i,Airbus A300-600ST
NEhzRsdEH2,Airbus A310-300
dFCeCK7F5Z,Airbus A320 (sharklets)
6yR5gAi7PX,Airbus A319 (sharklets)
fAIluH4uOZ,Airbus A330
a9hrH3I6xl,Beriev Be-200 Altair
gElTEJvMAI,Boeing 727-100
XvMpGSCDGd,Airbus A330-800neo
J3vdxg6UrL,Airbus A340-300
EqKoYHwhwW,Airbus A380-800
HcjQ7U0Sh3,Antonov An-148
QiXrA2JGpT,Antonov AN-26
Sx9sNlZWQy,Boeing 747-300M
poAB9EtiEx,Antonov AN-72 / AN-74
FhxqsyBugD,Boeing 720B
Jus3KuYPZn,Airbus A310
Vv5vTx6M1G,Bell 429
gmPY2xAxcA,Avro RJ85
bkD7AmPuxh,BAe 146-200
ZOTAafMiUE,Airbus A340-200
xl2bu30wdj,Bell 412
Fq73SXVoSP,7AC Champ, 7ECA Citabria
qkiqdGdkDu,Boeing 747-200F
vh7P2MkBo0,BAe 146-100
LOJkQUBFXf,Airbus A340-500
av4gCmbXTQ,Aeroprakt A-22 Foxbat
FgOeq2Ozbn,Boeing 727-200
tmOv5OWQDG,Beechcraft Baron / 58 Baron
SGPqDxFAQR,Airbus A350-900
A5KKmjq5TR,Aerospatiale SN.601 Corvette
kj5xCEqOG9,Boeing 747 LCF Dreamlifter
joVR2dPCzU,Airbus A300B2, A300B4, and A300C4
lNuyH51B14,Boeing 747-400
ytokRGxP3n,Airbus A321 (sharklets)
a1kXBmW1wA,Antonov AN-30
gPtWcLbwrP,Boeing 737 MAX 9
CqbsazIeAb,Boeing 747-100 Freighter
Brv1x5cOGk,Airbus A318
jwMwrF9Zic,Boeing 737-300
UIeIlpieUQ,Boeing 737 MAX 8
MMYLHmV7RE,Boeing 717
WTqLYsrhUv,Airbus A319neo
UobG6xDBM2,Boeing 747-200M
JHuoHEtOuj,Boeing 737-700
BxLlVmAlUV,Beechcraft Baron / 55 Baron
5wsEkyExIV,Boeing 737-200
wQuofgEBxu,Airbus A220-100
IYoiFLLgC1,Antonov AN-140
LU79DWXCFe,Antonov AN-12
gxvoErKjed,Antonov AN-28
TTDxYd81A0,Boeing 747-100
1QgoqP4WrP,Aerospatiale/Alenia ATR 72-500
k1lGjPt8g1,Boeing 737 MAX 7
OiCW8Kv3ok,Airbus A320
AwZbnGz00T,Aerospatiale (Nord) 262
t10OFoPuxV,Aerospatiale/Alenia ATR 42-300 / 320
j7I5aswxz5,Airbus A321neo
DsHBdF8xZj,Airbus A330-200
j4OjHqoNVR,Boeing 707
0iXK9BHmOW,Boeing 737-900
xrNlt6HBiH,Boeing 737-800
RypjJ53oEC,Beechcraft 1900
4C8OsKpML5,Airbus A300
pc4RQKF9MR,Avro RJ100
EFzvgfhBbB,Airbus A320
GUkYIzJRIx,Boeing 737 MAX 10
3ynnkFTGru,Airbus A319
Pm2J29cbLm,Airbus A340
SlfemlZNHI,7GCAA, 7GCBC, 7KCAB Citabria
qB2IY2cpdE,Airbus A300-600
bnwcoSNHOt,Boeing 747-300
sHDAX63OYR,Antonov An-225 Mriya
4cyO34XgjQ,Boeing 737-500
gbQosvB95n,Boeing 747-200
ElB4HfMiub,Aerospatiale/Alenia ATR 42-600
kyRu6TWXHl,Antonov AN-24
IHMhi7X9bl,Boeing 747-400D
W45AvSwKOy,Boeing 747-8F
YiYem1UvzJ,Boeing 747SR Freighter
GoH86S63b5,Boeing 747-8I
ujl31URdFa,Boeing 767-300
BRdkRFrPdl,Boeing 747-400M
pZ5u6dCMwA,Boeing 777-200LR
JSB5AhohIt,Boeing 757-200
cyYLgs1feG,Boeing 777-300
zdKj2UNoLh,Boeing 747-400F
L6HBNxY79X,British Aerospace Hawker 800XP
yWVCguP5J8,Bombardier 415
o79MMyb5yN,Bombardier Global Express / Raytheon Sentinel
vgoI2VvKv2,Boeing 777-8
FU6gqV6pWC,Boeing 757-300
Hvn8lp66ui,Boeing 747SR
8gDDJPdztZ,Boeing 787-8
xmAhIT5bJT,Boeing 747SP
vyudcE73GO,Boeing 757F
Pi7ZIEpvk1,Boeing 777-200 / Boeing 777-200ER
82DiTLYfsZ,Boeing 767-200
EFpHh87xOC,Boeing 777-200 Freighter
wzHVLCx7n2,Canadair Regional Jet 700 | Regional Jet 550
b2d6m8igom,British Aerospace Jetstream 41
3HCvxEqRYl,Boeing 767-400ER
QAIqGrDCFq,Bombardier BD-100 Challenger 300
v5fkgJCLPq,Boeing 777-9
1AYNSrdpMh,British Aerospace 125-1000 series
Okwba8k9Ai,Cessna 162
YBBMU2PeSh,Boeing 787-10
hJl9kBQaaQ,Bombardier BD-700 Global 5000
jniB4cfsw0,Canadair Regional Jet 1000
JRxHUa17no,Cessna Citation CJ3
ZuPm7m4uIe,British Aerospace Jetstream 31
9LQN56aTHk,British Aerospace ATP
u7MT6IlyKE,Canadair Regional Jet 900
oVLrMIjruh,Cessna 206 Stationair
bCAYfRiNE1,Canadair Challenger
BGavwYcJxY,CASA/IPTN CN-235
9bFAPeWbVU,De Havilland Canada DHC-5 Buffalo
BGj5GJ7Xw8,Boeing 777-300ER
tIS6FLGXf7,Dassault Falcon 900
ok9rEeA2MW,Cessna Citation III, VI, VII
rVQxH7zvjJ,Cessna 177 Cardinal RG
3rBpdQMpRB,Cessna Citation CJ2
pzKe2wx86B,Cessna Citation Mustang
1tzmCwfOaE,Canadair Regional Jet 100
qxa9OsfIec,De Havilland DH.114 Heron
1dTUuUWhIL,British Aerospace Jetstream 32
7MY3az7Td9,Cirrus SF50 Vision Jet
ejMznmHvBQ,Cessna 172
rZVzEPoawF,Cessna Citation CJ4
pAilTws9Ku,Boeing 787-9
XBGlcPsSAU,Cessna CitationJet
lqz9j2cnfo,Cessna 310
t5pgESoZwH,De Havilland Canada DHC-6 Twin Otter
HSUZb8Gvlv,British Aerospace (BAC) One Eleven
6kaES08CZE,Cessna 208 Caravan
74jRwSvI7l,De Havilland Canada DHC-8-300 Dash 8 / 8Q
aBtR1mYxLu,De Havilland Canada DHC-2 Beaver
wRT8ko8kzq,Curtiss C-46 Commando
1oCMgDnKfQ,Cessna Citation I
A7UpeQVe3z,Canadair Regional Jet 200
8ryozeTbiC,Douglas DC-10-30
vBkpvTJTvK,Convair CV-580, Convair CV-600, Convair CV-640
2OJOzOGQpB,Cessna 152
RmKv2qnptB,Cessna 182 Skylane
PMVq8h41CT,CASA / IPTN 212 Aviocar
p7SK0DUbt0,De Havilland Canada DHC-8-400 Dash 8Q
Mgza5wALxY,Douglas DC-8-50
eS4wODbyRU,Cessna Citation II
mg0chGfHbs,Cessna 172 Cutlass RG
OCYLfCB5Z1,Cessna Citation X
MUNKawHNBP,Douglas DC-10-30
bWUHaL2r8x,Diamond DA42
NdMuIFj7wX,Convair CV-240 & -440
NdPRJ7Hr2t,De Havilland Canada DHC-8-200 Dash 8 / 8Q
ZjJ7ZNZEcP,Cessna 210 Centurion
x1BL6C3RIM,De Havilland Canada DHC-4 Caribou
zUqgBPZtqU,Dassault Falcon 7X
EXhMcoqUHP,Cessna Citation V
XX3strDo5e,Douglas DC-10-10 Freighter
F9m11woVQz,Concorde
77WJfT6THS,De Havilland DH.104 Dove
J1oaYAMy6B,Douglas DC-6
W3GiJHX9FI,Cessna Citation Excel
fvfnx4jczk,Cessna Citation Sovereign
E0Ii4yEKww,Dassault Falcon 50
YOUiZK3hXc,COMAC C919
mdbDTgjuI6,De Havilland Canada DHC-3 Otter
H1tUEvIDhE,De Havilland Canada DHC-8-100 Dash 8 / 8Q
NZroLCnGii,De Havilland Comet 4
bqdWAL0D57,De Havilland Canada DHC-2 Turbo-Beaver
kHgxV5GSOL,Dassault Falcon 2000
7bmBFRDVRC,Douglas DC-10-10
WZFWtiGDUU,De Havilland Canada DHC-7 Dash 7
HR7UdHHlC9,Douglas DC-3
IK8oHaKy7Z,De Havilland Comet 2
CPodhZoFYF,Diamond DA62
YVjFgQI5G0,Douglas DC-10-30 Combi
aboj3Gipcn,Douglas DC-9-10
D2607jxFIX,Douglas DC-8-72
uHgmLPaGkV,Douglas DC-9-50
FQv76n3Cx3,Embraer 175
X3MqJAxNCd,Douglas DC-9-30
W2CWIV09gV,Embraer 175 (long wing)
fHfTwrEJRh,Embraer Legacy 600 / 650
DjIFRPLZkk,Embraer EMB 120 Brasilia
odo6bdBmPp,Embraer 190
PEFuYOuw4w,Embraer E190-E2
FrWdRK3k4m,Embraer E195-E2
PIEz7qe3uL,Douglas DC-9-20
l9Kzeul2gQ,Embraer Legacy 500
8B7SBq1zSh,Eurocopter EC135 / EC635
7Go1yWzEYi,Embraer RJ135
Jv3Mnig6om,GippsAero GA8 Airvan
9nRzKgqBZD,Douglas DC-9-40
dniNg6xuQ4,Fairchild Dornier 328JET
JB0XiYHWUW,Eurocopter AS350 Ecureuil
ag3Pah8aEp,Eurocopter AS332 Super Puma
ReYosXplTh,Embraer RJ140
GbDuh7OWwf,Eurocopter SA365 Dauphin 2
7VPz2VGAvP,Fokker F28 Fellowship
BaNVqVw2gE,Embraer Phenom 100
6G1FnDCuyH,Fokker 100
ITFAxB0yyi,Gulfstream G280
6Db0R9jWCS,Douglas DC-8-62
drOdQkdq7v,Gulfstream Aerospace G-159 Gulfstream I
FJaw6XDnHq,Fairchild Dornier Do.328
NL9tm9l7F9,Embraer 170
S5MzmcULLD,Fokker 70
gP7oaBvrIG,EV-97 EuroStar / EV-97 Harmony
xRHKVxNhYq,Eurocopter EC225 Super Puma
yFOcyWYdmP,Grumman G-21 Goose
iyC2F5jWV7,Embraer 195
cwoK9XMXC6,Embraer Phenom 300
sfheaRFtYI,Gulfstream IV
c0JlfvGThU,Hawker Siddeley HS 748
vKdDAxGG3n,Gulfstream/Rockwell Turbo Commander
jz6rilHVHl,Embraer Legacy 450 / Praetor 500
n7D68uwJtF,Gulfstream/Rockwell Commander
iOiZuRwmFT,Embraer 175 (short wing)
Kl8Em8VOuQ,Ilyushin IL62
fbG7cEq2sT,Ilyushin IL114
AgSb7CWfGP,Junkers Ju 52/3M
fA3FEVKe7l,Fokker F27 Friendship
ty5GTuSZAL,Eurocopter EC145
G73vPBMYS4,Fokker 50
5rx49RJCBo,LET 410
MlfiZkEj71,ICON A5
IGAaKnBzyP,Evektor SportStar
1bwtwOZF4V,Lockheed L-1049 Super Constellation
XB4ooJw7kJ,McDonnell Douglas MD-83
qH1DBC3uVK,Fairchild Dornier Do.228
2cKMXfLwpd,Ilyushin IL96
NE5fdIUAGT,McDonnell Douglas MD-11
YhoYIPHdPm,Embraer Lineage 1000
1aLTOVSNLw,Embraer EMB 110 Bandeirante
pJ501AIZbe,Eurocopter (MBB) Bo.105
6gQnrzcMHg,Embraer RJ145
mGwshATsJ8,Eurocopter EC120 Colibri
czFeHOKYtI,Grumman G-73 Turbo Mallard
HEyy9Kkh1A,Gulfstream V
ryna1VGXo6,Harbin Yunshuji Y12
hmoFyUp59k,Mil Mi-24 / Mi-25 / Mi-35
qHpNT3ybkL,Ilyushin IL86
r666NpNDOb,Gulfstream G650
ZNAL1zoTm5,Government Aircraft Factories N22B
EORFMUF3vF,Ilyushin IL76
Ou23sKXYiI,McDonnell Douglas MD-11F
ysT9XRKgy8,Honda HA-420
X5ccbnE6gH,Mitsubishi Mu-2
xIjrRuD1hw,Piper PA-28 (up to 200 mph)
Tu9LrXGnFL,Israel Aircraft Industries 1124 Westwind
afMSmXcf2H,Lockheed L-182 Hercules
g3vtBDApvZ,Piaggio P.180 Avanti
o8wAsqQfkj,Ilyushin IL18
i0QgruuEoy,Learjet 35 / 36 / C-21A
Gete2t5dFi,McDonnell Douglas MD-88
wr6GtkbuNq,McDonnell Douglas MD-11C
xoWFDIHDLC,Learjet 60
61g5Tp9tE5,Pipistrel Sinus
sT575Zrw30,Lockheed L-1011 Tristar
P1OTujpMMi,Pilatus Britten-Norman BN-2A Islander
NxoZ9jhGWX,Piper PA-31 Navajo
2JInfEVGbu,McDonnell Douglas MD-87
duDQpjBam5,Lockheed L-188 Electra
RKNnT2hH8B,NAMC YS-11
slFOyAnjDy,MIL Mi-8
PYSno3v3CV,McDonnell Douglas MD-81
HErqoU6BPm,Pilatus Britten-Norman BN-2A Mk III Trislander
ZIgxAhAuzs,McDonnell Douglas MD-90
Xit9xPBkWR,Piper PA-44 Seminole
idnZWD0nRB,McDonnell Douglas MD-82
mlkqdrSPDY,Pilatus PC-12
EstjATBzse,Partenavia P.68
5ans4nVWmL,MD Helicopters MD900 Explorer
MZApSQ8k32,Piper PA-28 (up to 180 mph)
xUV3zKtWmV,Pilatus PC-6 Turbo Porter
5bnyYhAiCG,Piper PA-46
UE9TDYiMN8,Shorts SC-5 Belfast
AGMwrhz6mw,Pipistrel Virus
o9H2vPJBdQ,Robin ATL
JKmUUHZ00r,Saab SF340A
2owrG8RJbq,Reims-Cessna F406 Caravan II
zN1D30gJmg,Shorts SC-7 Skyvan
mNg5iWfl19,Pipistrel Taurus
7xE2aIgF4q,Tecnam P2002 Sierra
Rw7GupgBEH,Sikorsky S-58T
Kh9F8EpuX5,Tupolev Tu-154
A6Lj7Xvp9p,Robin HR200 series
XZsCRk45LT,Team Rocket F1
VaJ2MpA2Ch,Sikorsky S-76
RAz1XVVl6Q,Tecnam P92 Echo
8udFVkDyuQ,Sikorsky S-61
zzfOoB3PH3,Tecnam P2010
uv4YwESH5B,Yakovlev Yak-42
Slqjs1JLq9,Sukhoi Superjet 100-95
VR07Nw6S9u,Tupolev Tu-134
Ru69GzVbVP,Tecnam P2012 Traveller
sHCAL9DeZN,Saab 2000
L4dt5tmu4p,Tupolev Tu-144
SMy0DdE8Zh,Shorts SD.330
tI5Vrs3rrb,Shorts SD.360
MRBFJNCJbm,Sikorsky S-92
qA0LIQRjTN,Socata TB-20 Trinidad
LPR0CIFibR,Tecnam P2006T
0tDCN8yN1z,Tecnam P2008
6EepAjH4Uf,Tecnam P96
PyZMwC2JDj,Tupolev Tu-204
hI1dI7qyFM,TL Ultralight TL-96 Star
dByeCUEOd5,Yakovlev Yak-40
JB0XijhfWU,Eurocopter AS355 Ecureuil 2
JB0Xijhf3U,Eurocopter AS550 Fennec
RAz1XWVl6Q,P92 Eaglet
Rf1XesV6Qb,P92 SeaSky
hI1dIyF65M,TL-2000 Sting
vfZMw12JDj,Tupolev Tu-214
A6Lj8Qvp9p,Robin R2000 series
j0Lj7Xvg4U,Robin Alpha160A
slFOyj4jDy,Mi-17
sl56jAnjDy,Mi-171
slFOyAnjaq,Mil-172
ZNAL1hdt40,Government Aircraft Factories N24A Nomad
domj89LnGY,Alenia ATR 72
afMSGEcf2H,Lockheed L-282 Hercules
tr5SGEcf2H,Lockheed L-382 Hercules
JKmUUHZ6Qr,Saab SF340B
PnOTujpL9i,Pilatus Britten-Norman BN-2B Islander
GbDuh2z9wf,Aerospatiale SA365N Dauphin 2
mGws01TsJm,Eurocopter Harbin HC120
5Ab6SrdpMh,British Aerospace Hawker
1AYNSrdhhW,British Aerospace Raytheon 1000
l9KH54b2gQ,Embraer Praetor 600
MUKaw62e1b,Douglas DC-10-30-40 Passenger
av4gCmbtQ2,Aeroprakt A-22 Valor
av4gCMytQP,Aeroprakt A-22 Vision
